FitX Aachen-Europaplatz,1524514070
FitX Arnsberg,1553788190
FitX Augsburg-Lechhausen,1623976190
FitX Berlin-Alexanderplatz,1220313650
FitX Berlin-Biesdorf,1215763710
FitX Berlin-East Side Mall,1215876800
FitX Berlin-Hellersdorf,1230340340
FitX Berlin-Ku'damm,1248696240
FitX Berlin-Landsberger Allee,1213140450
FitX Berlin-Moabit,1229908410
FitX Berlin-Schöneberg,1248879230
FitX Berlin-Spandau,1279098700
FitX Berlin-Südkreuz,1229910330
FitX Berlin-Tempelhof,1233337120
FitX Berlin-Waidmannslust,1273127920
FitX Bielefeld-Mitte,1516366190
FitX Bielefeld-Sieker,1523092370
FitX Bochum-Harpen,1427523240
FitX Bochum-Innenstadt,1428500030
FitX Bochum-Riemke,1429801720
FitX Bochum-Wattenscheid,1433998200
FitX Bonn-Duisdorf,1552783050
FitX Bottrop-Stadtmitte,1374394440
FitX Bremen-Mitte,1265461450
FitX Bremen-Oslebshausen,1264897590
FitX Bremen-Walle,1264955900
FitX Bremerhaven-Geestemünde,1264928990
FitX Chemnitz-Kaßberg,1481805740
FitX Dorsten,1373069440
FitX Dortmund-Kley,1590312670
FitX Dortmund-Nordstadt,1667760000
FitX Dortmund-Phoenix See,1592767700
FitX Dresden-Freiberger Straße,1481220270
FitX Duisburg-Hafen,1514213190
FitX Duisburg-Hamborn,1516124100
FitX Duisburg-Rheinhausen,1515430660
FitX Düren-Birkesdorf,1516485180
FitX Düsseldorf-Derendorf,1376493730
FitX Düsseldorf-Flingern,1375224210
FitX Düsseldorf-Holthausen,1385591270
FitX Düsseldorf-Lörick,1376484290
FitX Erfurt-Daberstedt,1480289020
FitX Essen-Bergerhausen,1484699660
FitX Essen-Limbecker Platz,1482041450
FitX Essen-Nordviertel,1667769010
FitX Fürth-Hardhöhe,1623981330
FitX Gelsenkirchen-Erle,1426852330
FitX Gelsenkirchen-Heßler,1435638360
FitX Gelsenkirchen-Mitte,1426598670
FitX Gießen-Innenstadt,1624337880
FitX Gladbeck-Mitte,1480610980
FitX Grevenbroich,1332122420
FitX Gütersloh-Innenstadt,1553159200
FitX Hagen-Mitte,1592309470
FitX Hamburg-Airport,1313511450
FitX Hamburg-Altona,1292144220
FitX Hamburg-Bahrenfeld,1292295470
FitX Hamburg-Steilshoop,1316996270
FitX Hamm-Mitte,1554485420
FitX Hannover-Vahrenheide,1293961110
FitX Iserlohn-Seilersee,1587894050
FitX Jena-Burgau,1514576250
FitX Kiel Gaarden-Süd,1293861920
FitX Koblenz-Lützel,1623585140
FitX Krefeld-Inrath,1331124760
FitX Krefeld-Oppum,1339464490
FitX Leipzig Mockau-Süd,1487098870
FitX Leipzig-Neulindenau,1481071460
FitX Ludwigshafen-Nord,1587147290
FitX Lübeck-St. Lorenz Nord,1293643060
FitX Magdeburg-Sudenburg,1514610160
FitX Mainz-Hechtsheim,1633404180
FitX Minden-Innenstadt,1563346160
FitX Musterdorf (Teststudio 02),1210301920
FitX Musterstadt (Teststudio 01),1210013890
FitX Mönchengladbach-Rheydt,1331119450
FitX Mönchengladbach-Waldhausen,1334574100
FitX Mülheim-Stadtmitte,1426664210
FitX München Schwabing-Freimann,1634568470
FitX München Sendling-Westpark,1633727250
FitX München-Lenbachplatz,1623981580
FitX München-Neuperlach,1624863530
FitX Münster-Berg Fidel,1667392850
FitX Münster-Kinderhaus,1552635000
FitX Neuss-Innenstadt,1373409550
FitX Nürnberg-Maxfeld,1656092560
FitX Nürnberg-Zabo,1656548120
FitX Oberhausen-Marienviertel,1431667260
FitX Osnabrück-Fledder,1279333890
FitX Ratingen-West,1375227230
FitX Remscheid-Süd,1331121560
FitX Rostock-Südstadt,1293538000
FitX Saarbrücken-St. Johann,1585381660
FitX Siegen-Mitte,1656700190
FitX Troisdorf-Mitte,1585459230
FitX Ulm,1656354360
FitX Unna,1210815870
FitX Viersen,1373356340
FitX Wetzlar-Neustadt,1585289390
FitX Witten-Mitte,1579415920
FitX Worms-Innenstadt Süd,1561099930
FitX Wuppertal-Barmen,1332250240
FitX Wuppertal-Langerfeld,1336611340
FitX Wuppertal-Vohwinkel,1343520670
Verwaltung,1210378750
